"Bachelor's degree major","Early-career bachelor's degree holders","Prime-age bachelor's degree holders","Prime-age graduate degree holders","Early-career bachelor's degree holders (low)","Early-career bachelor's degree holders (high)","Prime-age bachelor's degree holders (low)","Prime-age bachelor's degree holders (high)","Prime-age graduate degree holders (low)","Prime-age graduate degree holders (high)"
"Architectural engineering",78303,107184,113064,60741,89233,78656,145746,84091,154038
"Architecture",55736,87902,98991,41184,70076,61725,123553,70601,138338
"Biomedical engineering",72612,96466,122165,44026,92423,64880,131808,78783,187957
"Chemical engineering",86460,120607,145746,58992,100918,85747,164737,99591,208477
"Civil engineering",73842,107285,127442,59755,86408,79810,144988,92685,173293
"Electrical engineering",83954,123493,154167,59755,99637,88179,166146,113225,210519
"Engineering and industrial management",65547,102876,135027,51346,84919,74361,148264,98457,197219
"Engineering mechanics, physics, and science",67197,104875,144204,43386,92685,69670,144989,98457,202470
"Engineering technologies",54094,90296,108187,39836,73842,60551,127696,70171,161662
"Environmental engineering",70150,94322,115363,53207,81100,70444,127994,81140,160457
"General engineering",73842,104875,133017,49053,91766,71381,144821,92303,191055
"Geological and geophysical engineering",,102876,135329,,,72873,150110,98321,199525
"Industrial and manufacturing engineering",80549,108466,139383,61188,93979,76517,147685,99687,196913
"Industrial production technologies",61725,99763,120293,43275,77150,70601,137835,84091,161099
"Materials engineering and materials science",79810,106543,134784,58298,95394,75203,145518,97164,183918
"Mechanical engineering",81100,113064,142328,63848,94058,85240,152312,106230,192932
"Mechanical engineering related technologies",67689,95303,119129,43386,81460,70322,126366,86819,159992
"Metallurgical engineering",,124921,151009,,,86773,172922,105114,202749
"Mining and mineral engineering",,121045,139131,,,86150,166146,96466,192548
"Miscellaneous engineering",75029,102897,131094,53115,91978,69514,140169,86233,185903
"Miscellaneous engineering technologies",65547,99637,123071,45559,85114,69480,135677,88179,166875
"Naval architecture and marine engineering",,123071,153776,,,82301,162563,109840,199525
"Nuclear engineering",82471,125305,147159,62563,93112,87872,171296,105114,203067
"Petroleum engineering",98457,146453,166655,62925,139427,95527,245265,96097,279234
"Biochemical sciences",46343,77083,128621,34320,63738,50999,114924,75505,220128
"Biology",43936,72873,120358,31578,60245,50122,107184,75183,205922
"Botany",,67665,85018,,,47332,104271,57849,131808
"Ecology",40613,64912,86819,29264,54912,45883,95195,62167,128601
"Environmental science",48684,73413,93351,36436,63848,51856,104610,66394,132908
"Genetics",43261,78942,111359,34007,59755,49228,123071,70322,173785
"Microbiology",46343,82258,117903,34525,66458,56481,117903,73483,192194
"Miscellaneous biology",44848,73483,98457,31924,58951,49228,106588,65158,151819
"Molecular biology",44305,77019,121711,35149,63068,49816,117811,74379,214370
"Neuroscience",47501,69514,95772,36436,67526,45768,107184,68918,185371
"Physiology",45574,73842,110064,30364,62167,51011,108452,73842,180777
"Zoology",36613,69514,129224,28549,48233,47495,105815,78656,245265
"Applied mathematics",69670,105482,139340,46853,93902,68598,157873,92423,202749
"Computer and information systems",63195,95949,119332,43644,85018,65547,133017,85240,160776
"Computer engineering",85747,121455,147685,59031,107184,86150,167608,108886,202851
"Computer science",82589,115697,140152,56061,110064,77892,160457,101588,193994
"Computers, statistics, and mathematics: Other",54377,81140,109309,37112,78480,54956,118385,75029,155519
"Information sciences",68015,102692,126366,47029,91107,69480,142328,89856,175189
"Mathematics",60727,93112,115857,43724,84091,60855,142102,77173,173546
"Statistics and decision science",73227,101825,129026,52136,98478,64183,146965,89233,183707
"Astronomy and astrophysics",,82471,119509,,,47194,146965,79996,180914
"Atmospheric sciences and meteorology",49228,86773,106414,36921,65228,57764,135027,72879,145496
"Chemistry",48009,81460,130341,34757,65586,55640,122928,80160,201885
"Geology and earth science",49228,81448,107184,35444,65158,56481,120240,73033,158761
"Geosciences",53485,80831,123071,33254,78345,54956,118062,80388,183563
"Materials science",78765,106414,137281,41950,91091,80388,142504,92951,191055
"Nuclear, industrial radiology, and biological technologies",57879,82328,115382,39836,78436,61510,107184,86461,155417
"Oceanography",47332,76436,106509,35085,65694,51259,119006,66508,151374
"Other physical sciences",,77620,109110,,,54094,128472,72311,157313
"Physics",54094,97164,132916,36965,81100,59858,148960,86005,190901
"Cognitive science and biopsychology",52136,91766,114168,38439,73842,57849,145746,71424,184606
"Counseling psychology",38078,55060,68169,32774,49305,39793,77019,52628,89233
"Industrial and organizational psychology",51112,81278,110224,41885,64522,53115,120837,68641,165985
"Psychology",42874,64665,86150,31998,56808,46250,96466,61725,123884
"Social psychology",,63721,81448,,,48582,102253,61404,120607
"Anthropology and archaeology",42492,65547,87872,30198,57928,45980,98478,63634,131171
"Criminology",46556,70673,90219,32774,61535,50455,102149,64183,131808
"Economics",68920,103237,146067,49053,93534,66458,162281,92685,235969
"General social sciences",43275,68969,90452,33197,57928,48582,102247,63721,127415
"Geography",52136,78946,98457,37591,66508,55652,112870,70601,139668
"Interdisciplinary social sciences",42509,64470,87713,33636,56481,47332,94388,62663,128365
"International relations",57117,85211,120293,42565,75307,57849,132077,80831,182182
"Miscellaneous social sciences",54094,80831,102876,36436,67369,56387,119715,73842,155417
"Political science and government",53167,86550,121947,38510,70444,57928,133017,80388,189887
"Pre-law and legal studies",48233,70444,103712,35222,66394,50122,102517,69514,158723
"Sociology",45556,68355,87447,33760,59755,48582,100753,63239,124921
