"Category","Multi/interdisciplinary studies","Multi/interdisciplinary studies"
"2009&ndash;2011",0.0786,0.0472
"2010&ndash;2012",0.062,0.0452
"2011&ndash;2013",0.0632,0.0458
"2012&ndash;2014",0.0641,0.0442
"2013&ndash;2015",0.0657,0.0418
"2014&ndash;2016",0.0577,0.0361
"2015&ndash;2017",0.0568,0.0306
"2016&ndash;2018",0.0593,0.0287
"2017&ndash;2019",0.0518,0.0255
"2018&ndash;2020",0.0511,0.03
"2019&ndash;2021",0.0451,0.0349
"2020&ndash;2022",0.0524,0.0349
"2021&ndash;2023",0.043,0.0306
