"Field","Detailed field","Year","Unemployment rate",""
"","","","Early-career bachelor's degree holders","Prime-age bachelor's degree holders"
"Multidisciplinary studies","Multi/interdisciplinary studies","2016","5.7%","3.1%"
"Multidisciplinary studies","Multi/interdisciplinary studies","2017","5.9%","2.9%"
"Multidisciplinary studies","Multi/interdisciplinary studies","2018","5.2%","2.6%"
"Multidisciplinary studies","Multi/interdisciplinary studies","2019","5.1%","3.0%"
"Multidisciplinary studies","Multi/interdisciplinary studies","2020","4.5%","3.5%"
"Multidisciplinary studies","Multi/interdisciplinary studies","2021","5.2%","3.5%"
"Multidisciplinary studies","Multi/interdisciplinary studies","2022","4.3%","3.1%"
"Social sciences","Psychology","2010","8.5%","6.4%"
"Social sciences","Social sciences","2010","9.5%","5.8%"
"Social sciences","Psychology","2011","8.9%","6.3%"
"Social sciences","Social sciences","2011","10.2%","5.9%"
"Social sciences","Psychology","2012","8.5%","6.1%"
"Social sciences","Social sciences","2012","9.3%","5.4%"
"Social sciences","Psychology","2013","6.9%","5.4%"
"Social sciences","Social sciences","2013","8.4%","4.9%"
"Social sciences","Psychology","2014","6.3%","4.8%"
"Social sciences","Social sciences","2014","7.5%","4.3%"
"Social sciences","Psychology","2015","6.0%","4.2%"
"Social sciences","Social sciences","2015","6.8%","3.7%"
"Social sciences","Psychology","2016","5.9%","3.8%"
"Social sciences","Social sciences","2016","6.5%","3.3%"
"Social sciences","Psychology","2017","5.5%","3.6%"
"Social sciences","Social sciences","2017","6.7%","3.2%"
"Social sciences","Psychology","2018","4.9%","3.3%"
"Social sciences","Social sciences","2018","6.5%","3.1%"
"Social sciences","Psychology","2019","6.1%","4.1%"
"Social sciences","Social sciences","2019","7.0%","3.7%"
"Social sciences","Psychology","2020","6.5%","4.7%"
"Social sciences","Social sciences","2020","7.2%","4.2%"
"Social sciences","Psychology","2021","7.5%","4.8%"
"Social sciences","Social sciences","2021","7.2%","4.1%"
"Social sciences","Psychology","2022","5.9%","3.8%"
"Social sciences","Social sciences","2022","6.7%","3.4%"
"STEM","Agriculture and natural resources","2010","6.2%","3.5%"
"STEM","Architecture and engineering","2010","7.8%","5.0%"
"STEM","Biology and life sciences","2010","7.5%","4.9%"
"STEM","Computers, statistics, and mathematics","2010","8.5%","5.2%"
"STEM","Physical sciences","2010","6.0%","5.0%"
"STEM","Agriculture and natural resources","2011","5.6%","3.4%"
"STEM","Architecture and engineering","2011","7.5%","4.4%"
"STEM","Biology and life sciences","2011","7.9%","5.0%"
"STEM","Computers, statistics, and mathematics","2011","8.5%","4.8%"
"STEM","Physical sciences","2011","5.7%","4.8%"
"STEM","Agriculture and natural resources","2012","4.6%","2.8%"
"STEM","Architecture and engineering","2012","6.7%","3.7%"
"STEM","Biology and life sciences","2012","7.2%","4.8%"
"STEM","Computers, statistics, and mathematics","2012","7.3%","4.2%"
"STEM","Physical sciences","2012","5.2%","4.7%"
"STEM","Agriculture and natural resources","2013","3.8%","2.4%"
"STEM","Architecture and engineering","2013","6.3%","3.2%"
"STEM","Biology and life sciences","2013","7.5%","4.5%"
"STEM","Computers, statistics, and mathematics","2013","6.7%","3.8%"
"STEM","Physical sciences","2013","6.1%","4.1%"
"STEM","Agriculture and natural resources","2014","3.6%","2.3%"
"STEM","Architecture and engineering","2014","5.8%","2.9%"
"STEM","Biology and life sciences","2014","6.9%","4.1%"
"STEM","Computers, statistics, and mathematics","2014","6.3%","3.5%"
"STEM","Physical sciences","2014","6.0%","3.9%"
"STEM","Agriculture and natural resources","2015","3.1%","2.0%"
"STEM","Architecture and engineering","2015","5.3%","2.5%"
"STEM","Biology and life sciences","2015","6.7%","3.6%"
"STEM","Computers, statistics, and mathematics","2015","6.5%","3.1%"
"STEM","Physical sciences","2015","5.6%","3.6%"
"STEM","Agriculture and natural resources","2016","4.3%","2.0%"
"STEM","Architecture and engineering","2016","5.4%","2.4%"
"STEM","Biology and life sciences","2016","6.0%","3.3%"
"STEM","Computers, statistics, and mathematics","2016","6.2%","3.0%"
"STEM","Physical sciences","2016","5.4%","3.3%"
"STEM","Agriculture and natural resources","2017","3.9%","1.7%"
"STEM","Architecture and engineering","2017","5.1%","2.3%"
"STEM","Biology and life sciences","2017","5.4%","2.9%"
"STEM","Computers, statistics, and mathematics","2017","6.2%","2.9%"
"STEM","Physical sciences","2017","5.5%","3.2%"
"STEM","Agriculture and natural resources","2018","4.6%","1.7%"
"STEM","Architecture and engineering","2018","5.0%","2.2%"
"STEM","Biology and life sciences","2018","5.0%","2.5%"
"STEM","Computers, statistics, and mathematics","2018","6.4%","2.9%"
"STEM","Physical sciences","2018","5.7%","3.1%"
"STEM","Agriculture and natural resources","2019","5.3%","1.9%"
"STEM","Architecture and engineering","2019","6.0%","2.5%"
"STEM","Biology and life sciences","2019","5.4%","3.0%"
"STEM","Computers, statistics, and mathematics","2019","7.0%","3.4%"
"STEM","Physical sciences","2019","5.6%","3.6%"
"STEM","Agriculture and natural resources","2020","5.8%","2.2%"
"STEM","Architecture and engineering","2020","6.4%","2.7%"
"STEM","Biology and life sciences","2020","6.0%","3.4%"
"STEM","Computers, statistics, and mathematics","2020","7.3%","3.6%"
"STEM","Physical sciences","2020","6.1%","4.0%"
"STEM","Agriculture and natural resources","2021","5.4%","2.2%"
"STEM","Architecture and engineering","2021","5.9%","2.7%"
"STEM","Biology and life sciences","2021","5.8%","3.4%"
"STEM","Computers, statistics, and mathematics","2021","6.9%","3.5%"
"STEM","Physical sciences","2021","6.1%","3.7%"
"STEM","Agriculture and natural resources","2022","3.8%","1.8%"
"STEM","Architecture and engineering","2022","4.0%","2.2%"
"STEM","Biology and life sciences","2022","5.1%","2.9%"
"STEM","Computers, statistics, and mathematics","2022","6.8%","3.1%"
"STEM","Physical sciences","2022","5.5%","3.1%"

