"Category","Health","Health"
"2009&ndash;2011",0.0567,0.0252
"2010&ndash;2012",0.0599,0.0281
"2011&ndash;2013",0.0585,0.0274
"2012&ndash;2014",0.0502,0.0254
"2013&ndash;2015",0.0461,0.0232
"2014&ndash;2016",0.04,0.0213
"2015&ndash;2017",0.0383,0.0194
"2016&ndash;2018",0.0375,0.018
"2017&ndash;2019",0.0357,0.0181
"2018&ndash;2020",0.0415,0.0213
"2019&ndash;2021",0.0428,0.0226
"2020&ndash;2022",0.0409,0.0219
"2021&ndash;2023",0.0335,0.0191
